PUSHBUTTON_TYPE,INTERSECTION_ID,STATUS,ESTIMATED_YEAR_OF_IMPROVEMENT,YEAR_INSPECTED,GIS_ID,CREATED_DATE,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,GLOBALID,OBJECTID,LONGITUDE,LATITUDE
None,,1,2030,2016,ADA_APSPt_995,1472228404000,1719520978000,,{62A8E489-C089-4432-BD7E-F9F1A14B75D5},995,-77.00270809706257,38.93045716702607
None,,1,2030,2016,ADA_APSPt_996,1470261492000,1719520978000,,{72F2DA56-EF23-4046-96DB-41D56D547B65},996,-77.02970861856343,38.91568120139968
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_997,1487876184000,1719520978000,,{6A3AF3DF-D94B-411F-8BDC-EBE3704F9A94},997,-77.04871504113048,38.90363263741493
None,,1,2030,2016,ADA_APSPt_998,1470341123000,1719520978000,,{F6536D2C-5104-4912-96CE-4DE9E580D27D},998,-77.02265183910397,38.924309520285796
None,,1,2030,2016,ADA_APSPt_999,1471987757000,1719520978000,,{905C2C7F-34EA-445D-9F15-1272351FA6FB},999,-77.00193830739494,38.88752187371433
None,,1,2030,2016,ADA_APSPt_1000,1471293666000,1719520978000,,{7A73D2F4-F841-401D-B513-30EB0559F10E},1000,-76.97211187091875,38.9257020155849
None,,1,2030,2016,ADA_APSPt_1001,1470777856000,1719520978000,,{8F4F7081-AA87-4657-9913-267D122170C3},1001,-77.00922062159029,38.922327902447904
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1002,1487876168000,1719520978000,,{69931C53-543B-4033-B35C-9E135EC05D00},1002,-77.04866065293868,38.903676574013865
None,,1,2030,2016,ADA_APSPt_1003,1472516672000,1719520978000,,{5CD61650-926D-47C6-96EF-9C27795B0853},1003,-76.98864460520997,38.946328976943235
None,,1,2030,2016,ADA_APSPt_1004,1471993345000,1719520978000,,{C5C59E2D-0216-407F-8970-05674D9F70CD},1004,-77.00364030472936,38.885133595637264
None,,1,2030,2016,ADA_APSPt_1005,,1719520978000,,{FD22894B-16C4-4CF3-BA75-9917EEE22AAF},1005,-76.93732558805672,38.88956921760579
None,,1,2030,2016,ADA_APSPt_1006,1472233642000,1719520978000,,{858051F3-9BA7-452B-8DB8-422EF7EBFE04},1006,-77.01125234079973,38.89605023154555
None,,1,2030,2016,ADA_APSPt_1007,1470440305000,1719520978000,,{7890F3DD-EA39-4E59-8DF3-6B515A37C11B},1007,-77.00047628136403,38.83294334205147
None,,1,2030,2016,ADA_APSPt_1008,,1719520978000,,{703D0ABC-6C67-416B-AAE7-217894001B70},1008,-77.03618072438134,38.990616852990556
Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_1009,1472156330000,1719520978000,,{F0C24881-BD7E-42E1-8171-4C90855E21CC},1009,-76.98500693559033,38.86682051192936
None,,1,2030,2016,ADA_APSPt_1010,1473721519000,1719520978000,,{AFD2F791-993A-4C0F-BB58-9995408A0CD4},1010,-77.0417341469108,38.91132083266699
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1011,1511829351000,1719520978000,,{2FE49D7E-FDE5-4204-9DF7-B57D3E5313A3},1011,-77.02502636607103,38.939634091296206
None,,1,2030,2016,ADA_APSPt_1012,1473888624000,1719520978000,,{FF5D3E8D-8437-4BFB-988A-861258AFF913},1012,-77.02792792595179,38.89605514863881
,,5,2030,2016,ADA_APSPt_1013,,1719520978000,,{D1826429-0427-4219-9DDB-F84A0E311361},1013,-77.02503850182941,38.910964522141334
None,,1,2030,2016,ADA_APSPt_1014,1471990152000,1719520978000,,{D3DA4311-7B7A-4A1B-A685-3A5692B98063},1014,-77.05883738479584,38.91824158800232
None,,1,2030,2016,ADA_APSPt_1015,1473969951000,1719520978000,,{29223ACF-9C50-4B87-A1AD-2B35CFF87630},1015,-77.03866691181236,38.90381749116232
None,,1,2030,2016,ADA_APSPt_1016,1471461181000,1719520978000,,{170A5536-D1E3-4A54-B23B-E3629777EB51},1016,-76.99386585426929,38.89196454945966
None,,1,2030,2016,ADA_APSPt_1017,1471588098000,1719520978000,,{5FDE7C8B-FE20-4899-8DCC-7EBCD25B6C6D},1017,-76.99364751487799,38.90245798016556
None,,1,2030,2016,ADA_APSPt_1018,,1719520978000,,{020FEE54-A5C0-4D0E-9527-BC3586F143C1},1018,-77.0362815924645,38.948220075826356
None,,1,2030,2016,ADA_APSPt_1019,,1719520978000,,{8280CBDD-1C6E-4770-BB59-DC184ED224C9},1019,-77.01224902272465,38.87628918423246
Type A : Old version (non-compliant),,1,2030,2016,ADA_APSPt_1020,1472156957000,1719520978000,,{983B16B0-C88B-483C-860F-0713DDC53A5D},1020,-76.98841081467891,38.8790845751944
None,,1,2030,2016,ADA_APSPt_1021,1471282273000,1719520978000,,{FF2651CA-FAFB-488D-9740-6BCCFA0525AD},1021,-77.00066640831207,38.925511686165535
None,,1,2030,2016,ADA_APSPt_1022,,1719520978000,,{5C8D103E-BB82-4FF9-B926-526977BE3917},1022,-76.91359672309768,38.889598906817355
None,,1,2030,2016,ADA_APSPt_1023,1470332313000,1719520978000,,{4506DD4D-1691-4F05-B5C2-E0AED7A67D2E},1023,-77.0296350524839,38.96041001080794
None,,1,2030,2016,ADA_APSPt_1024,1471338534000,1719520978000,,{E4CD0E4C-FA8C-4113-A0AC-2EF61A46802A},1024,-76.96505216355264,38.92513243876009
None,,1,2030,2016,ADA_APSPt_1025,1471462523000,1719520978000,,{3EAD9FB1-E2AB-4630-9C39-548DED8311F2},1025,-76.9903671135271,38.92562613559138
Type C: Compliant version with Vibro-tactile and arrow,,1,2030,2016,ADA_APSPt_1026,,1719520978000,,{2613BE8A-2589-486B-9FE8-70CCA46D5A22},1026,-77.04479753832887,38.902321718378595
